customerid,city,gender,senior_citizen,partner,dependents,tenure_months,contract,payment_method,monthly_charges,total_charges,churn_label,churn_score,churn_reason,churn_flag,avg_monthly_value,contract_risks,payment_risk,engagement_score,cltv,high_value
5167-ZFFMM,Indio,Male,No,No,No,1,Month-to-month,Credit card (automatic),90.85,90.85,Yes,81,Network reliability,1,90.85,2,0,45.925,90.85,0
4895-TMWIR,Indian Wells,Male,Yes,Yes,No,11,Month-to-month,Mailed check,19.95,214.75,Yes,80,Limited range of services,1,19.522727272727273,2,0,15.475,219.45,0
0533-BNWKF,Palm Desert,Female,Yes,Yes,No,55,Month-to-month,Electronic check,85.45,4874.7,Yes,100,Lack of affordable download/upload speed,1,88.63090909090909,2,1,70.225,4699.75,1
6599-CEBNN,Desert Hot Springs,Female,No,No,No,34,Month-to-month,Credit card (automatic),73.95,2524.45,Yes,94,Long distance charges,1,74.24852941176471,2,0,53.975,2514.3,1
0979-PHULV,Holtville,Male,No,Yes,No,69,Month-to-month,Credit card (automatic),99.45,7007.6,Yes,80,Extra data charges,1,101.55942028985508,2,0,84.225,6862.05,1
4800-VHZKI,Niland,Female,No,No,No,1,Month-to-month,Mailed check,19.9,19.9,Yes,92,Price too high,1,19.9,2,0,10.45,19.9,0
7989-CHGTL,North Palm Springs,Male,No,No,No,1,Month-to-month,Mailed check,19.6,19.6,Yes,95,Product dissatisfaction,1,19.6,2,0,10.3,19.6,0
0334-GDDSO,Ocotillo,Male,Yes,No,No,3,Month-to-month,Electronic check,81.35,233.7,Yes,73,Service dissatisfaction,1,77.89999999999999,2,1,42.175,244.04999999999998,0
0578-SKVMF,Seeley,Female,No,Yes,No,22,Month-to-month,Electronic check,83.3,1845.9,Yes,88,Lack of self-service on Website,1,83.90454545454546,2,1,52.65,1832.6,0
5564-NEMQO,Thermal,Female,Yes,No,No,1,Month-to-month,Bank transfer (automatic),75.3,75.3,Yes,67,Network reliability,1,75.3,2,0,38.15,75.3,0
